77,1,PG-DMC,SIP
77,2,PG-DBDA,SIP
77,3,PG-DBDA,ACN
78,1,PG-DAC,ACN
79,1,PG-DBDA,ACP
80,1,PG-DGI,ACN
80,2,PG-DESD,ACN
80,3,PG-DBDA,ACN
81,1,PG-DBDA,SIP
81,2,PG-DMC,SIP
83,1,PG-DBDA,ACN
83,2,PG-DAC,SIP
84,1,PG-DESD,ACN
84,2,PG-DGI,ACN
84,3,PG-DMC,SIP
84,4,PG-DAC,SIP
85,1,PG-DAC,ACP
86,1,PG-DESD,ACP
86,2,PG-DESD,SIP
89,1,PG-DBDA,ACP
89,2,PG-DAC,SIP
89,3,PG-DBDA,ACN
89,4,PG-DMC,SIP
89,5,PG-DBDA,SIP
90,1,PG-DAC,SIP
90,2,PG-DESD,SIP
90,3,PG-DESD,ACN
90,4,PG-DBDA,ACN
90,5,PG-DGI,ACN
92,1,PG-DAC,SIP
93,1,PG-DMC,SIP
93,2,PG-DAC,ACN
94,1,PG-DGI,ACN
95,1,PG-DBDA,SIP
95,2,PG-DMC,SIP
96,1,PG-DBDA,SIP
97,1,PG-DBDA,ACN
97,2,PG-DGI,ACN
97,3,PG-DAC,SIK
98,1,PG-DBDA,ACP
98,2,PG-DMC,SIP
99,1,PG-DESD,ACN
99,2,PG-DMC,SIP
99,3,PG-DESD,SIP
100,1,PG-DMC,SIP
100,2,PG-DBDA,ACP
101,1,PG-DGI,ACN
101,2,PG-DAC,SIP
101,3,PG-DAC,ACN
101,4,PG-DESD,ACP
102,1,PG-DAC,ACP
102,2,PG-DAC,ACN
103,1,PG-DMC,SIP
103,2,PG-DBDA,ACP
103,3,PG-DAC,ACN
105,1,PG-DBDA,ACP
105,2,PG-DAC,SIK
106,1,PG-DGI,ACN
108,1,PG-DESD,SIP
108,2,PG-DMC,SIP
109,1,PG-DAC,SIP
109,2,PG-DAC,SIK
110,1,PG-DAC,SIP
111,1,PG-DAC,SIP
111,2,PG-DBDA,ACN
111,3,PG-DBDA,SIP
113,1,PG-DMC,SIP
113,2,PG-DBDA,ACN
113,3,PG-DAC,ACP
116,1,PG-DAC,SIP
116,2,PG-DBDA,ACP
118,1,PG-DMC,SIP
119,1,PG-DGI,ACN
119,2,PG-DBDA,ACP
120,1,PG-DGI,ACN
120,2,PG-DMC,SIP
120,3,PG-DAC,ACP
121,1,PG-DBDA,SIP
121,2,PG-DAC,SIP
121,3,PG-DMC,SIP
121,4,PG-DGI,ACN
123,1,PG-DBDA,ACP
123,2,PG-DESD,ACN
126,1,PG-DBDA,ACP
126,2,PG-DMC,SIP
127,1,PG-DAC,SIK
130,1,PG-DAC,ACP
132,1,PG-DBDA,SIP
132,2,PG-DBDA,ACP
134,1,PG-DAC,ACP
134,2,PG-DESD,ACN
134,3,PG-DESD,ACP
134,4,PG-DMC,SIP
135,1,PG-DAC,SIP
137,1,PG-DMC,SIP
137,2,PG-DAC,SIK
138,1,PG-DBDA,ACN
138,2,PG-DGI,ACN
139,1,PG-DAC,SIK
141,1,PG-DAC,ACN
142,1,PG-DAC,ACN
142,2,PG-DBDA,ACN
144,1,PG-DAC,ACP
144,2,PG-DBDA,SIP
145,1,PG-DGI,ACN
146,1,PG-DAC,ACN
146,2,PG-DBDA,ACP
148,1,PG-DBDA,ACN
150,1,PG-DBDA,ACP
152,1,PG-DESD,ACN
152,2,PG-DGI,ACN
152,3,PG-DAC,SIK
153,1,PG-DMC,SIP
153,2,PG-DAC,ACP
153,3,PG-DESD,ACP
154,1,PG-DAC,ACP
154,2,PG-DAC,ACN
154,3,PG-DAC,SIP
154,4,PG-DESD,ACP
154,5,PG-DGI,ACN
155,1,PG-DAC,SIK
156,1,PG-DMC,SIP
156,2,PG-DGI,ACN
156,3,PG-DESD,ACP
157,1,PG-DAC,ACP
157,2,PG-DMC,SIP
157,3,PG-DESD,SIP
157,4,PG-DGI,ACN
157,5,PG-DESD,ACP
159,1,PG-DMC,SIP
159,2,PG-DGI,ACN
160,1,PG-DAC,ACN
160,2,PG-DAC,SIP
161,1,PG-DAC,ACN
162,1,PG-DAC,ACN
162,2,PG-DMC,SIP
162,3,PG-DGI,ACN
163,1,PG-DAC,SIP
163,2,PG-DGI,ACN
164,1,PG-DGI,ACN
167,1,PG-DMC,SIP
167,2,PG-DAC,ACN
167,3,PG-DGI,ACN
168,1,PG-DAC,ACP
168,2,PG-DGI,ACN
169,1,PG-DMC,SIP
169,2,PG-DGI,ACN
171,1,PG-DAC,ACP
172,1,PG-DMC,SIP
172,2,PG-DAC,SIP
175,1,PG-DGI,ACN
175,2,PG-DAC,ACN
